filename,measure
Reger - Improvisationen 3-001.png,"1"
Reger - Improvisationen 3-002.png,"4"
Reger - Improvisationen 3-003.png,"7"
Reger - Improvisationen 3-004.png,"10"
Reger - Improvisationen 3-005.png,"14"
Reger - Improvisationen 3-006.png,"18"
Reger - Improvisationen 3-007.png,"21"
Reger - Improvisationen 3-008.png,"24"
Reger - Improvisationen 3-009.png,"27"
Reger - Improvisationen 3-010.png,"29"
Reger - Improvisationen 3-011.png,"31"
Reger - Improvisationen 3-012.png,"34"
Reger - Improvisationen 3-013.png,"37"
